date,gdp_current_us$,population_total
1960,24205688712.3759,130075728.0
1961,24958886027.4641,133534923.0
1962,27073233856.5389,137171659.0
1963,31769135008.6453,140945536.0
1964,30279553206.6418,144904094.0
1965,33806176716.8471,149033472.0
1966,36927249593.1569,153281203.0
1967,38444163573.9168,157704381.0
1968,41742001495.4024,162329396.0
1969,47048523178.8515,167088245.0
1970,47593907819.7874,171984985.0
1971,52188685166.5557,177022314.0
1972,56726057494.0767,182126556.0
1973,73083598128.682,187524135.0
1974,89535976340.3864,193186642.0
1975,95295754526.8723,198914573.0
1976,96006417139.9692,204802976.0
1977,109208244154.943,210680842.0
1978,124083421003.115,217074286.0
1979,142099959764.832,223974122.0
1980,178472295521.021,230792729.0
1981,185108969364.767,238043099.0
1982,178355547527.525,245822010.0
1983,185755503030.119,253644643.0
1984,170038515839.183,261458202.0
1985,149335153752.165,269450407.0
1986,160553515127.741,277621771.0
1987,190175229570.901,286067346.0
1988,207368870172.406,294498625.0
1989,220613390803.074,302939121.0
1990,256383050159.487,311748681.0
1991,276918502950.348,320442961.0
1992,241188307967.9,329082707.0
1993,239981176638.05,338324002.0
1994,243477534983.306,347441809.0
1995,273327034187.587,356580375.0
1996,273427612467.252,366138524.0
1997,288270699674.414,375646235.0
1998,268728127688.21,385505757.0
1999,265321007618.974,395750933.0
2000,287041984552.036,406156661.0
2001,260849957489.123,416807868.0
2002,269746009737.979,427820358.0
2003,358116081062.427,439173286.0
2004,445974808500.088,450928044.0
2005,521561976778.096,463076637.0
2006,587500469826.421,475606210.0
2007,674999944547.619,488580707.0
2008,726770401376.729,502070763.0
2009,726921646144.603,516003448.0
2010,863822114606.332,530308387.0
2011,959822476083.878,544737983.0
2012,969265729636.028,559609961.0
2013,981308886976.783,575202699.0
2014,998836162271.296,590968990.0
2015,910002035578.038,607123269.0
2016,831868076442.431,623369401.0
2017,978076465866.452,640058741.0
2018,1020955778298.17,657801085.0
2019,1018714795912.35,675950189.0
2020,938607563405.087,694446100.0
2021,1114144799994.21,713090928.0
2022,1228967879390.01,731821393.0
2023,1179359054880.45,750491370.0
2024,1242693542929.85,769280888.0
