countryiso3code,date,value,unit,obs_status,decimal,indicator_id,indicator_value,country_id,country_value
IRN,2025,,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2024,475252089215.416,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2023,457510482317.483,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2022,422662261525.665,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2021,407350685583.335,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2020,280934329279.723,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2019,347988400957.999,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2018,411903303606.044,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2017,510239893417.645,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2016,478618064870.999,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2015,409191686496.677,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2014,462284793280.825,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2013,500399839839.877,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2012,644019315003.54,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2011,629082257472.368,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2010,487069570463.768,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2009,414059094949.063,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2008,406070949553.875,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2007,349736591832.418,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2006,265602187403.643,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
IRN,2005,224970371324.67,,,0,NY.GDP.MKTP.CD,GDP (current US$),IR,"Iran, Islamic Rep."
